ProcedureName,parameter_id,ParameterName,DataType,max_length,is_output
usp_insert_cost_staging,1,@pif_id,varchar,16,0
usp_insert_cost_staging,2,@project_id,varchar,10,0
usp_insert_cost_staging,3,@scenario,varchar,12,0
usp_insert_cost_staging,4,@year,date,3,0
usp_insert_cost_staging,5,@requested_value,decimal,9,0
usp_insert_cost_staging,6,@current_value,decimal,9,0
usp_insert_cost_staging,7,@variance_value,decimal,9,0
usp_insert_project_staging,1,@pif_id,varchar,16,0
usp_insert_project_staging,2,@project_id,varchar,10,0
usp_insert_project_staging,3,@status,varchar,58,0
usp_insert_project_staging,4,@change_type,varchar,12,0
usp_insert_project_staging,5,@accounting_treatment,varchar,14,0
usp_insert_project_staging,6,@category,varchar,26,0
usp_insert_project_staging,7,@seg,int,4,0
usp_insert_project_staging,8,@opco,varchar,4,0
usp_insert_project_staging,9,@site,varchar,4,0
usp_insert_project_staging,10,@strategic_rank,varchar,26,0
usp_insert_project_staging,11,@funding_project,varchar,10,0
usp_insert_project_staging,12,@project_name,varchar,35,0
usp_insert_project_staging,13,@original_fp_isd,varchar,8,0
usp_insert_project_staging,14,@revised_fp_isd,varchar,5,0
usp_insert_project_staging,15,@moving_isd_year,char,1,0
usp_insert_project_staging,16,@lcm_issue,varchar,11,0
usp_insert_project_staging,17,@justification,varchar,192,0
usp_insert_project_staging,18,@prior_year_spend,decimal,9,0
usp_insert_project_staging,19,@archive_flag,bit,1,0
usp_insert_project_staging,20,@include_flag,bit,1,0
